,bid,mid,ask
2024-07-02 01:42:00+00:00,1.07344,1.07352,1.0736
2024-07-02 01:43:00+00:00,1.07341,1.07348,1.07356
2024-07-02 01:44:00+00:00,1.07341,1.07349,1.07357
2024-07-02 01:45:00+00:00,1.07354,1.07361,1.07368
2024-07-02 01:46:00+00:00,1.07351,1.07358,1.07365
2024-07-02 01:47:00+00:00,1.07351,1.07359,1.07367
2024-07-02 01:48:00+00:00,1.07352,1.0736,1.07368
2024-07-02 01:49:00+00:00,1.07355,1.07362,1.0737
2024-07-02 01:50:00+00:00,1.07352,1.0736,1.07368
2024-07-02 01:51:00+00:00,1.0734,1.07348,1.07355
2024-07-02 01:52:00+00:00,1.0734,1.07348,1.07355
2024-07-02 01:53:00+00:00,1.07341,1.07349,1.07357
2024-07-02 01:54:00+00:00,1.07343,1.0735,1.07358
2024-07-02 01:55:00+00:00,1.07346,1.07354,1.07362
2024-07-02 01:56:00+00:00,1.07336,1.07344,1.07352
2024-07-02 01:57:00+00:00,1.07335,1.07344,1.07352
2024-07-02 01:58:00+00:00,1.07331,1.07338,1.07346
2024-07-02 01:59:00+00:00,1.07336,1.07344,1.07352
2024-07-02 02:00:00+00:00,1.07335,1.07343,1.07351
2024-07-02 02:01:00+00:00,1.07332,1.07339,1.07346
2024-07-02 02:02:00+00:00,1.07337,1.07345,1.07353
2024-07-02 02:03:00+00:00,1.07334,1.07342,1.07351
2024-07-02 02:04:00+00:00,1.07336,1.07344,1.07351
2024-07-02 02:05:00+00:00,1.07332,1.0734,1.07348
2024-07-02 02:06:00+00:00,1.07332,1.0734,1.07348
2024-07-02 02:07:00+00:00,1.07343,1.0735,1.07358
2024-07-02 02:08:00+00:00,1.0734,1.07348,1.07357
2024-07-02 02:09:00+00:00,1.07343,1.07351,1.07359
2024-07-02 02:10:00+00:00,1.07335,1.07344,1.07352
2024-07-02 02:11:00+00:00,1.07343,1.0735,1.07357
2024-07-02 02:12:00+00:00,1.07342,1.0735,1.07357
2024-07-02 02:13:00+00:00,1.07351,1.07359,1.07367
2024-07-02 02:14:00+00:00,1.07352,1.0736,1.07368
2024-07-02 02:15:00+00:00,1.07343,1.07352,1.0736
2024-07-02 02:16:00+00:00,1.07336,1.07344,1.07353
2024-07-02 02:17:00+00:00,1.07336,1.07344,1.07351
2024-07-02 02:18:00+00:00,1.07338,1.07346,1.07353
2024-07-02 02:19:00+00:00,1.0734,1.07348,1.07357
2024-07-02 02:20:00+00:00,1.07341,1.07348,1.07355
2024-07-02 02:21:00+00:00,1.07334,1.07341,1.07348
2024-07-02 02:22:00+00:00,1.07336,1.07344,1.07351
2024-07-02 02:23:00+00:00,1.07331,1.07339,1.07347
2024-07-02 02:24:00+00:00,1.07334,1.07342,1.07349
2024-07-02 02:25:00+00:00,1.07332,1.0734,1.07348
2024-07-02 02:26:00+00:00,1.07327,1.07334,1.07342
2024-07-02 02:27:00+00:00,1.07326,1.07334,1.07341
2024-07-02 02:28:00+00:00,1.07322,1.0733,1.07337
2024-07-02 02:29:00+00:00,1.07324,1.07332,1.07339
2024-07-02 02:30:00+00:00,1.07316,1.07324,1.07332
2024-07-02 02:31:00+00:00,1.07317,1.07324,1.07332
2024-07-02 02:32:00+00:00,1.07317,1.07325,1.07333
2024-07-02 02:33:00+00:00,1.07321,1.07328,1.07336
2024-07-02 02:34:00+00:00,1.07318,1.07326,1.07333
2024-07-02 02:35:00+00:00,1.07321,1.07329,1.07337
2024-07-02 02:36:00+00:00,1.07321,1.07328,1.07336
2024-07-02 02:37:00+00:00,1.0732,1.07328,1.07336
2024-07-02 02:38:00+00:00,1.0732,1.07327,1.07334
2024-07-02 02:39:00+00:00,1.07323,1.07331,1.07339
2024-07-02 02:40:00+00:00,1.07327,1.07334,1.07342
2024-07-02 02:41:00+00:00,1.07326,1.07334,1.07342
2024-07-02 02:42:00+00:00,1.07331,1.07338,1.07345
2024-07-02 02:43:00+00:00,1.07332,1.0734,1.07348
2024-07-02 02:44:00+00:00,1.07332,1.0734,1.07348
2024-07-02 02:45:00+00:00,1.07343,1.0735,1.07358
2024-07-02 02:46:00+00:00,1.07347,1.07354,1.07361
2024-07-02 02:47:00+00:00,1.0734,1.07348,1.07355
2024-07-02 02:48:00+00:00,1.07341,1.07349,1.07357
2024-07-02 02:49:00+00:00,1.07341,1.07349,1.07357
2024-07-02 02:50:00+00:00,1.07341,1.07348,1.07356
2024-07-02 02:51:00+00:00,1.07341,1.07348,1.07356
2024-07-02 02:52:00+00:00,1.07341,1.07348,1.07356
2024-07-02 02:53:00+00:00,1.07336,1.07344,1.07352
2024-07-02 02:54:00+00:00,1.0733,1.07338,1.07346
2024-07-02 02:55:00+00:00,1.07336,1.07344,1.07353
2024-07-02 02:56:00+00:00,1.07331,1.07339,1.07347
2024-07-02 02:57:00+00:00,1.07335,1.07343,1.07351
2024-07-02 02:58:00+00:00,1.07337,1.07345,1.07353
2024-07-02 02:59:00+00:00,1.07344,1.07352,1.0736
2024-07-02 03:00:00+00:00,1.07348,1.07355,1.07362
2024-07-02 03:01:00+00:00,1.07344,1.07352,1.0736
2024-07-02 03:02:00+00:00,1.07346,1.07354,1.07362
2024-07-02 03:03:00+00:00,1.07343,1.0735,1.07358
2024-07-02 03:04:00+00:00,1.07343,1.07351,1.07359
2024-07-02 03:05:00+00:00,1.07342,1.0735,1.07358
2024-07-02 03:06:00+00:00,1.07332,1.0734,1.07348
2024-07-02 03:07:00+00:00,1.07333,1.0734,1.07348
2024-07-02 03:08:00+00:00,1.0733,1.07338,1.07346
2024-07-02 03:09:00+00:00,1.07317,1.07326,1.07334
2024-07-02 03:10:00+00:00,1.07316,1.07324,1.07331
2024-07-02 03:11:00+00:00,1.07313,1.07322,1.0733
2024-07-02 03:12:00+00:00,1.07321,1.0733,1.07338
2024-07-02 03:13:00+00:00,1.07324,1.07331,1.07338
2024-07-02 03:14:00+00:00,1.07326,1.07334,1.07342
2024-07-02 03:15:00+00:00,1.07329,1.07338,1.07346
2024-07-02 03:16:00+00:00,1.07326,1.07334,1.07343
2024-07-02 03:17:00+00:00,1.07323,1.07331,1.07339
2024-07-02 03:18:00+00:00,1.07327,1.07335,1.07343
2024-07-02 03:19:00+00:00,1.07327,1.07335,1.07343
2024-07-02 03:20:00+00:00,1.0732,1.07328,1.07336
2024-07-02 03:21:00+00:00,1.07321,1.0733,1.07338
2024-07-02 03:22:00+00:00,1.0732,1.07328,1.07335
2024-07-02 03:23:00+00:00,1.07325,1.07333,1.07341
2024-07-02 03:24:00+00:00,1.07326,1.07334,1.07342
2024-07-02 03:25:00+00:00,1.07329,1.07338,1.07346
2024-07-02 03:26:00+00:00,1.07324,1.07332,1.07341
2024-07-02 03:27:00+00:00,1.07314,1.07322,1.07329
2024-07-02 03:28:00+00:00,1.07314,1.07322,1.0733
2024-07-02 03:29:00+00:00,1.07312,1.0732,1.07328
2024-07-02 03:30:00+00:00,1.07316,1.07324,1.07333
2024-07-02 03:31:00+00:00,1.07313,1.07321,1.07329
2024-07-02 03:32:00+00:00,1.0731,1.07318,1.07326
2024-07-02 03:33:00+00:00,1.07313,1.07321,1.07329
2024-07-02 03:34:00+00:00,1.07313,1.0732,1.07328
2024-07-02 03:35:00+00:00,1.07312,1.0732,1.07328
2024-07-02 03:36:00+00:00,1.07311,1.07319,1.07327
2024-07-02 03:37:00+00:00,1.07306,1.07314,1.07321
2024-07-02 03:38:00+00:00,1.07302,1.0731,1.07317
2024-07-02 03:39:00+00:00,1.07304,1.07312,1.07319
2024-07-02 03:40:00+00:00,1.07305,1.07313,1.07321
2024-07-02 03:41:00+00:00,1.07305,1.07313,1.07321
2024-07-02 03:42:00+00:00,1.07301,1.07309,1.07317
2024-07-02 03:43:00+00:00,1.073,1.07308,1.07316
2024-07-02 03:44:00+00:00,1.07302,1.0731,1.07317
2024-07-02 03:45:00+00:00,1.07302,1.0731,1.07318
2024-07-02 03:46:00+00:00,1.07302,1.0731,1.07318
2024-07-02 03:47:00+00:00,1.07302,1.0731,1.07319
2024-07-02 03:48:00+00:00,1.07305,1.07313,1.07321
2024-07-02 03:49:00+00:00,1.07305,1.07313,1.07321
2024-07-02 03:50:00+00:00,1.07306,1.07314,1.07322
2024-07-02 03:51:00+00:00,1.07307,1.07315,1.07323
2024-07-02 03:52:00+00:00,1.07305,1.07314,1.07322
2024-07-02 03:53:00+00:00,1.07307,1.07315,1.07323
2024-07-02 03:54:00+00:00,1.07316,1.07324,1.07331
2024-07-02 03:55:00+00:00,1.07308,1.07316,1.07324
2024-07-02 03:56:00+00:00,1.0731,1.07318,1.07326
2024-07-02 03:57:00+00:00,1.07313,1.07321,1.07329
2024-07-02 03:58:00+00:00,1.07313,1.07321,1.07329
2024-07-02 03:59:00+00:00,1.07315,1.07323,1.07331
2024-07-02 04:00:00+00:00,1.07321,1.07329,1.07337
2024-07-02 04:01:00+00:00,1.07318,1.07326,1.07334
2024-07-02 04:02:00+00:00,1.07321,1.07328,1.07336
2024-07-02 04:03:00+00:00,1.07322,1.0733,1.07338
2024-07-02 04:04:00+00:00,1.07322,1.0733,1.07338
2024-07-02 04:05:00+00:00,1.0732,1.07328,1.07336
2024-07-02 04:06:00+00:00,1.07317,1.07325,1.07333
2024-07-02 04:07:00+00:00,1.07315,1.07323,1.07331
2024-07-02 04:08:00+00:00,1.07316,1.07324,1.07332
2024-07-02 04:09:00+00:00,1.0732,1.07328,1.07336
2024-07-02 04:10:00+00:00,1.0732,1.07328,1.07335
2024-07-02 04:11:00+00:00,1.07322,1.0733,1.07337
2024-07-02 04:12:00+00:00,1.07321,1.07328,1.07335
2024-07-02 04:13:00+00:00,1.0732,1.07328,1.07335
2024-07-02 04:14:00+00:00,1.07321,1.07328,1.07335
2024-07-02 04:15:00+00:00,1.07321,1.07328,1.07336
2024-07-02 04:16:00+00:00,1.07321,1.07328,1.07336
2024-07-02 04:17:00+00:00,1.07317,1.07324,1.07332
2024-07-02 04:18:00+00:00,1.07321,1.07328,1.07335
2024-07-02 04:19:00+00:00,1.07321,1.07328,1.07336
2024-07-02 04:20:00+00:00,1.07321,1.07329,1.07337
2024-07-02 04:21:00+00:00,1.0732,1.07328,1.07337
2024-07-02 04:22:00+00:00,1.07316,1.07324,1.07332
2024-07-02 04:23:00+00:00,1.07317,1.07325,1.07333
2024-07-02 04:24:00+00:00,1.07316,1.07324,1.07333
2024-07-02 04:25:00+00:00,1.07315,1.07322,1.07329
2024-07-02 04:26:00+00:00,1.07315,1.07323,1.07331
2024-07-02 04:27:00+00:00,1.07317,1.07324,1.07332
2024-07-02 04:28:00+00:00,1.07317,1.07326,1.07334
2024-07-02 04:29:00+00:00,1.07317,1.07326,1.07334
2024-07-02 04:30:00+00:00,1.07317,1.07324,1.07332
2024-07-02 04:31:00+00:00,1.07318,1.07325,1.07332
2024-07-02 04:32:00+00:00,1.0732,1.07328,1.07336
2024-07-02 04:33:00+00:00,1.07316,1.07324,1.07332
2024-07-02 04:34:00+00:00,1.07315,1.07323,1.07331
2024-07-02 04:35:00+00:00,1.07309,1.07316,1.07324
2024-07-02 04:36:00+00:00,1.07302,1.0731,1.07318
2024-07-02 04:37:00+00:00,1.07304,1.07312,1.07319
2024-07-02 04:38:00+00:00,1.07302,1.0731,1.07319
2024-07-02 04:39:00+00:00,1.073,1.07308,1.07316
2024-07-02 04:40:00+00:00,1.07287,1.07296,1.07304
2024-07-02 04:41:00+00:00,1.0729,1.07298,1.07306
2024-07-02 04:42:00+00:00,1.07285,1.07293,1.07301
2024-07-02 04:43:00+00:00,1.07286,1.07294,1.07301
2024-07-02 04:44:00+00:00,1.07294,1.07302,1.0731
2024-07-02 04:45:00+00:00,1.07292,1.073,1.07307
2024-07-02 04:46:00+00:00,1.07289,1.07296,1.07304
2024-07-02 04:47:00+00:00,1.07287,1.07294,1.07302
2024-07-02 04:48:00+00:00,1.07284,1.07292,1.07301
2024-07-02 04:49:00+00:00,1.07284,1.07292,1.07301
2024-07-02 04:50:00+00:00,1.07282,1.0729,1.07297
2024-07-02 04:51:00+00:00,1.07281,1.07288,1.07296
2024-07-02 04:52:00+00:00,1.07291,1.073,1.07308
2024-07-02 04:53:00+00:00,1.07287,1.07295,1.07303
2024-07-02 04:54:00+00:00,1.07286,1.07294,1.07302
2024-07-02 04:55:00+00:00,1.0728,1.07288,1.07296
2024-07-02 04:56:00+00:00,1.07279,1.07286,1.07294
2024-07-02 04:57:00+00:00,1.07281,1.07289,1.07297
2024-07-02 04:58:00+00:00,1.07288,1.07295,1.07302
2024-07-02 04:59:00+00:00,1.07288,1.07296,1.07304
2024-07-02 05:00:00+00:00,1.07288,1.07296,1.07303
2024-07-02 05:01:00+00:00,1.07293,1.073,1.07308
2024-07-02 05:02:00+00:00,1.07291,1.07299,1.07307
2024-07-02 05:03:00+00:00,1.07283,1.07292,1.073
2024-07-02 05:04:00+00:00,1.07284,1.07292,1.073
2024-07-02 05:05:00+00:00,1.07282,1.0729,1.07298
2024-07-02 05:06:00+00:00,1.07282,1.0729,1.07298
2024-07-02 05:07:00+00:00,1.0728,1.07288,1.07296
2024-07-02 05:08:00+00:00,1.0727,1.07278,1.07286
2024-07-02 05:09:00+00:00,1.07279,1.07286,1.07294
2024-07-02 05:10:00+00:00,1.0728,1.07288,1.07295
2024-07-02 05:11:00+00:00,1.0728,1.07288,1.07295
2024-07-02 05:12:00+00:00,1.07285,1.07293,1.07301
2024-07-02 05:13:00+00:00,1.07277,1.07285,1.07293
2024-07-02 05:14:00+00:00,1.07279,1.07286,1.07294
2024-07-02 05:15:00+00:00,1.07291,1.07298,1.07305
2024-07-02 05:16:00+00:00,1.0729,1.07298,1.07306
2024-07-02 05:17:00+00:00,1.07287,1.07294,1.07302
2024-07-02 05:18:00+00:00,1.07283,1.0729,1.07298
2024-07-02 05:19:00+00:00,1.07283,1.07291,1.07299
2024-07-02 05:20:00+00:00,1.07276,1.07283,1.0729
2024-07-02 05:21:00+00:00,1.07274,1.07282,1.07291
2024-07-02 05:22:00+00:00,1.0727,1.07278,1.07285
2024-07-02 05:23:00+00:00,1.0727,1.07278,1.07287
2024-07-02 05:24:00+00:00,1.07269,1.07276,1.07284
2024-07-02 05:25:00+00:00,1.07264,1.07272,1.0728
2024-07-02 05:26:00+00:00,1.07267,1.07276,1.07284
2024-07-02 05:27:00+00:00,1.07265,1.07273,1.07281
2024-07-02 05:28:00+00:00,1.0727,1.07278,1.07285
2024-07-02 05:29:00+00:00,1.0727,1.07278,1.07285
2024-07-02 05:30:00+00:00,1.0727,1.07278,1.07285
2024-07-02 05:31:00+00:00,1.07269,1.07277,1.07285
2024-07-02 05:32:00+00:00,1.07274,1.07282,1.07289
2024-07-02 05:33:00+00:00,1.07274,1.07282,1.07291
2024-07-02 05:34:00+00:00,1.07286,1.07294,1.07301
2024-07-02 05:35:00+00:00,1.0729,1.07298,1.07305
2024-07-02 05:36:00+00:00,1.07287,1.07295,1.07303
2024-07-02 05:37:00+00:00,1.07286,1.07294,1.07301
2024-07-02 05:38:00+00:00,1.07287,1.07294,1.07302
2024-07-02 05:39:00+00:00,1.07291,1.07298,1.07305
2024-07-02 05:40:00+00:00,1.07294,1.07302,1.07309
2024-07-02 05:41:00+00:00,1.07302,1.07309,1.07316
2024-07-02 05:42:00+00:00,1.07301,1.07308,1.07315
2024-07-02 05:42:01.652571362+00:00,1.07305,1.07308,1.07311
2024-07-02 05:42:06.677936303+00:00,1.07306,1.07309,1.07312
2024-07-02 05:42:10.333034456+00:00,1.07305,1.07309,1.07313
2024-07-02 05:42:11.075909414+00:00,1.07307,1.0731,1.07313
2024-07-02 05:42:12.692268645+00:00,1.07307,1.073105,1.07314
2024-07-02 05:42:14.579658742+00:00,1.0731,1.07313,1.07316
2024-07-02 05:42:15.099708980+00:00,1.07309,1.073125,1.07316
2024-07-02 05:42:20.128441756+00:00,1.07308,1.0731199999999999,1.07316
2024-07-02 05:42:20.380260197+00:00,1.07309,1.073125,1.07316
2024-07-02 05:42:20.880984407+00:00,1.07306,1.073095,1.07313
2024-07-02 05:42:22.484064864+00:00,1.07306,1.0731,1.07314
2024-07-02 05:42:28.151287315+00:00,1.07306,1.073095,1.07313
2024-07-02 05:42:28.349206938+00:00,1.07306,1.0731,1.07314
2024-07-02 05:42:30.285709392+00:00,1.07306,1.073095,1.07313
2024-07-02 05:42:31.347082442+00:00,1.07309,1.07313,1.07317
2024-07-02 05:42:52.762528404+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:42:58.068456240+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:00.107965479+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:01.112797248+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:05.369720012+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:05.570770495+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:06.067711610+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:06.498655885+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:08.988504984+00:00,1.07306,1.0731,1.07314
2024-07-02 05:43:14.243787761+00:00,1.07306,1.0731,1.07314
2024-07-02 05:43:17.192188309+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:17.656345085+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:17.991638470+00:00,1.07307,1.073105,1.07314
2024-07-02 05:43:20.990197667+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:21.040705818+00:00,1.07305,1.07309,1.07313
2024-07-02 05:43:21.590930223+00:00,1.07307,1.073105,1.07314
2024-07-02 05:43:27.658354133+00:00,1.07307,1.07311,1.07315
2024-07-02 05:43:29.776819143+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:29.998367582+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:30.407451403+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:32.403739038+00:00,1.0731,1.073135,1.07317
2024-07-02 05:43:33.449297070+00:00,1.0731,1.07314,1.07318
2024-07-02 05:43:35.755968403+00:00,1.0731,1.073135,1.07317
2024-07-02 05:43:39.371332869+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:40.844888409+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:40.844888409+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:41.862117033+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:43.278710312+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:43.657649284+00:00,1.07308,1.0731199999999999,1.07316
2024-07-02 05:43:43.786299874+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:44.395524563+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:45.505839303+00:00,1.07308,1.073125,1.07317
2024-07-02 05:43:45.654237847+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:49.626325920+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:50.674410883+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:51.428396067+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:52.144885604+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:52.226125134+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:52.774378437+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:53.033435402+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:53.382692163+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:54.385400622+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:55.306226894+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:56.318188322+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:59.031919699+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:44:00.059144932+00:00,1.07309,1.07313,1.07317
2024-07-02 05:44:01.179704524+00:00,1.07307,1.073115,1.07316
2024-07-02 05:44:01.356649455+00:00,1.07306,1.0731,1.07314
2024-07-02 05:44:03.836431382+00:00,1.07305,1.073085,1.07312
2024-07-02 05:44:04.037933403+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:05.163065396+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:07.091264788+00:00,1.07305,1.073095,1.07314
2024-07-02 05:44:07.417878107+00:00,1.07304,1.07308,1.07312
2024-07-02 05:44:07.770150392+00:00,1.07305,1.073085,1.07312
2024-07-02 05:44:07.953172297+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:18.272847329+00:00,1.07304,1.073075,1.07311
2024-07-02 05:44:30.125665017+00:00,1.07304,1.07307,1.0731
2024-07-02 05:44:30.565073853+00:00,1.07304,1.073075,1.07311
2024-07-02 05:44:36.162656697+00:00,1.07305,1.07308,1.07311
2024-07-02 05:44:37.417523071+00:00,1.07304,1.07307,1.0731
2024-07-02 05:44:37.490102753+00:00,1.07305,1.07308,1.07311
2024-07-02 05:44:38.837280921+00:00,1.07306,1.07309,1.07312
2024-07-02 05:44:48.551530938+00:00,1.07308,1.073115,1.07315
2024-07-02 05:44:48.762476693+00:00,1.07309,1.07312,1.07315
2024-07-02 05:44:51.423630159+00:00,1.07311,1.07314,1.07317
2024-07-02 05:44:51.423630159+00:00,1.07311,1.07314,1.07317
2024-07-02 05:45:01.069802731+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:01.377553254+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:01.795259760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:06.795259760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:09.120044227+00:00,1.07311,1.07314,1.07317
2024-07-02 05:45:24.533407319+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:25.020221266+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:25.490064440+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:27.062025229+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:28.065601325+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:30.058847980+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:32.422947049+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:33.348100241+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:34.912411614+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:38.426944467+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:41.646058435+00:00,1.07307,1.073105,1.07314
2024-07-02 05:45:41.860816596+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:42.194853661+00:00,1.07307,1.073105,1.07314
2024-07-02 05:45:43.723910884+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:45.434331441+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:47.986558190+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:48.339175997+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:48.421677116+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:51.626004807+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:51.944838168+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:52.559649591+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:53.110558886+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:53.929058333+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:54.694015446+00:00,1.07309,1.073125,1.07316
2024-07-02 05:45:54.920345106+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:55.509398887+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:58.319364005+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:59.939092603+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:00.301742016+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:00.427540627+00:00,1.07311,1.073145,1.07318
2024-07-02 05:46:10.141757106+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:10.534187055+00:00,1.07311,1.07315,1.07319
2024-07-02 05:46:11.284773630+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:11.451010735+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:12.458907146+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:12.599888530+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:12.773721651+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:13.061226760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:13.858953707+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:14.058718972+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:14.453221955+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:14.582065202+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:15.272699537+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:15.845907739+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:16.285403567+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:16.356092596+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:17.082463289+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:17.526119020+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:17.593380911+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:18.478734023+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:19.020233256+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:19.324844889+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:19.882374630+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:20.314063874+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:21.858207057+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:22.631761255+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:22.860207682+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:24.064714293+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:24.757958736+00:00,1.0731,1.073145,1.07319
2024-07-02 05:46:26.645797130+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:27.060014748+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:30.527841625+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:31.730917576+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:32.071995710+00:00,1.07311,1.073145,1.07318
2024-07-02 05:46:32.321307264+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:32.541390128+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:32.788878804+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:33.095193654+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:33.708916540+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:34.100099577+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:34.728694282+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:35.059041521+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:37.686988240+00:00,1.0731,1.073135,1.07317
